J: 3.41735 1.11132 0 0 
nth step2 temperature e 
1 2048 1.5 -218.076 
1 2048 1.5 -218.084 
1 2048 1.5 -218.211 
1 2048 1.5 -217.93 
1 2048 1.5 -217.985 
1 2048 1.5 -217.874 
1 2048 1.5 -218.042 
1 2048 1.5 -218.068 
1 2048 1.5 -217.985 
1 2048 1.5 -217.946 
1 2048 1.5 -217.913 
1 2048 1.5 -217.994 
1 2048 1.5 -218.018 
1 2048 1.5 -217.91 
1 2048 1.5 -217.929 
1 2048 1.5 -218.143 
1 2048 1.5 -217.945 
1 2048 1.5 -217.947 
1 2048 1.5 -218.099 
1 2048 1.5 -218.242 
1 2048 1.5 -217.657 
1 2048 1.5 -217.948 
1 2048 1.5 -218.087 
1 2048 1.5 -217.984 
1 2048 1.5 -217.994 
1 2048 1.505 -217.85 
1 2048 1.505 -217.755 
1 2048 1.505 -217.809 
1 2048 1.505 -218.137 
1 2048 1.505 -217.891 
1 2048 1.505 -218.111 
1 2048 1.505 -217.868 
1 2048 1.505 -217.957 
1 2048 1.505 -218.055 
1 2048 1.505 -218.063 
1 2048 1.505 -217.806 
1 2048 1.505 -217.937 
1 2048 1.505 -218.03 
1 2048 1.505 -217.948 
1 2048 1.505 -218.036 
1 2048 1.505 -217.988 
1 2048 1.505 -217.975 
1 2048 1.505 -217.969 
1 2048 1.505 -217.875 
1 2048 1.505 -218.015 
1 2048 1.505 -217.883 
1 2048 1.505 -217.987 
1 2048 1.505 -218.061 
1 2048 1.505 -218.048 
1 2048 1.505 -217.981 
1 2048 1.51 -217.916 
1 2048 1.51 -218.018 
1 2048 1.51 -217.685 
1 2048 1.51 -217.821 
1 2048 1.51 -217.726 
1 2048 1.51 -218.086 
1 2048 1.51 -217.99 
1 2048 1.51 -217.959 
1 2048 1.51 -217.842 
1 2048 1.51 -217.719 
1 2048 1.51 -217.956 
1 2048 1.51 -217.984 
1 2048 1.51 -217.931 
1 2048 1.51 -217.784 
1 2048 1.51 -217.915 
1 2048 1.51 -217.825 
1 2048 1.51 -218.02 
1 2048 1.51 -217.815 
1 2048 1.51 -217.84 
1 2048 1.51 -217.839 
1 2048 1.51 -217.741 
1 2048 1.51 -217.918 
1 2048 1.51 -218.013 
1 2048 1.51 -217.916 
1 2048 1.51 -217.938 
1 2048 1.515 -217.844 
1 2048 1.515 -217.957 
1 2048 1.515 -217.933 
1 2048 1.515 -217.871 
1 2048 1.515 -217.954 
1 2048 1.515 -217.826 
1 2048 1.515 -217.934 
1 2048 1.515 -218.002 
1 2048 1.515 -217.803 
1 2048 1.515 -217.916 
1 2048 1.515 -217.805 
1 2048 1.515 -217.796 
1 2048 1.515 -217.802 
1 2048 1.515 -218.013 
1 2048 1.515 -217.788 
1 2048 1.515 -217.866 
1 2048 1.515 -217.791 
1 2048 1.515 -217.916 
1 2048 1.515 -217.719 
1 2048 1.515 -217.828 
1 2048 1.515 -217.788 
1 2048 1.515 -217.963 
1 2048 1.515 -217.879 
1 2048 1.515 -217.792 
1 2048 1.515 -217.838 
1 2048 1.52 -217.943 
1 2048 1.52 -217.969 
1 2048 1.52 -217.799 
1 2048 1.52 -217.75 
1 2048 1.52 -217.77 
1 2048 1.52 -217.946 
1 2048 1.52 -217.819 
1 2048 1.52 -217.949 
1 2048 1.52 -217.805 
1 2048 1.52 -217.822 
1 2048 1.52 -218.089 
1 2048 1.52 -217.807 
1 2048 1.52 -217.776 
1 2048 1.52 -217.793 
1 2048 1.52 -217.938 
1 2048 1.52 -217.687 
1 2048 1.52 -217.787 
1 2048 1.52 -217.768 
1 2048 1.52 -217.784 
1 2048 1.52 -217.916 
1 2048 1.52 -217.686 
1 2048 1.52 -217.9 
1 2048 1.52 -217.83 
1 2048 1.52 -218.062 
1 2048 1.52 -218.02 
1 2048 1.525 -217.782 
1 2048 1.525 -217.752 
1 2048 1.525 -217.885 
1 2048 1.525 -217.683 
1 2048 1.525 -217.85 
1 2048 1.525 -217.864 
1 2048 1.525 -217.646 
1 2048 1.525 -217.891 
1 2048 1.525 -217.725 
1 2048 1.525 -217.791 
1 2048 1.525 -217.624 
1 2048 1.525 -217.613 
1 2048 1.525 -217.766 
1 2048 1.525 -217.688 
1 2048 1.525 -217.497 
1 2048 1.525 -217.713 
1 2048 1.525 -217.546 
1 2048 1.525 -217.759 
1 2048 1.525 -217.677 
1 2048 1.525 -217.725 
1 2048 1.525 -217.765 
1 2048 1.525 -217.776 
1 2048 1.525 -217.88 
1 2048 1.525 -217.68 
1 2048 1.525 -217.846 
1 2048 1.53 -217.87 
1 2048 1.53 -217.848 
1 2048 1.53 -217.663 
1 2048 1.53 -217.633 
1 2048 1.53 -217.738 
1 2048 1.53 -217.556 
1 2048 1.53 -217.836 
1 2048 1.53 -217.514 
1 2048 1.53 -217.621 
1 2048 1.53 -217.784 
1 2048 1.53 -217.82 
1 2048 1.53 -217.684 
1 2048 1.53 -217.544 
1 2048 1.53 -217.755 
1 2048 1.53 -217.684 
1 2048 1.53 -217.775 
1 2048 1.53 -217.739 
1 2048 1.53 -217.695 
1 2048 1.53 -217.758 
1 2048 1.53 -217.464 
1 2048 1.53 -217.778 
1 2048 1.53 -217.872 
1 2048 1.53 -217.747 
1 2048 1.53 -217.858 
1 2048 1.53 -217.667 
1 2048 1.535 -217.494 
1 2048 1.535 -217.811 
1 2048 1.535 -217.684 
1 2048 1.535 -217.608 
1 2048 1.535 -217.607 
1 2048 1.535 -217.806 
1 2048 1.535 -217.673 
1 2048 1.535 -217.703 
1 2048 1.535 -217.728 
1 2048 1.535 -217.58 
